utterance,studentActions_raw,label
how do you say next to and purple?,"['False', 'True', 'False', 'False']",Question
"How do you say ""is next to the"" in Italian?","['False', 'True', 'False', 'False']",Question
e dietro la bota tyrio,"['True', 'False', 'False', 'False']",Guess
la palla e sotto all'bero verde,"['True', 'False', 'False', 'False']",Guess
Il gato e dentro la scatola gialla?,"['True', 'False', 'False', 'False']",Guess
Then I believe its e in cima al letto avo perhaps.,"['True', 'False', 'False', 'False']",Guess
"il coniglio e di fronte rosa scatola is the right answer for how to say ""the bunny is in front of the pink box"" correct?","['False', 'True', 'False', 'False']",Question
la borsa a la,"['True', 'False', 'False', 'False']",Guess
Can you tell me how to say in front of the in Italian?,"['False', 'True', 'False', 'False']",Question
il cane e di fronte blu All'albero is the total sentence. Isn't this right?,"['False', 'True', 'False', 'False']",Question
How do you say is in front of?,"['False', 'True', 'False', 'False']",Question
il gatto di fronte a coniglio giallo.,"['True', 'False', 'False', 'False']",Guess
OK il coniglio e dentro la scatola la rosa,"['True', 'False', 'False', 'False']",Guess
What is the word for purple bed?,"['False', 'True', 'False', 'False']",Question
What is the word for table?,"['False', 'True', 'False', 'False']",Question
So is 'il gatto e vicino al giallo cane' correct?,"['False', 'False', 'True', 'False']",Affirmation
What is the word for box in Italian?,"['False', 'True', 'False', 'False']",Question
how to say in front of?,"['False', 'True', 'False', 'False']",Question
pianta,"['False', 'False', 'True', 'False']",Affirmation
"How to say ""purple"" in Italian?","['False', 'True', 'False', 'False']",Question
what is next to?,"['False', 'True', 'False', 'False']",Question
How do you say table?,"['False', 'True', 'False', 'False']",Question
e in cima al yellow tavolo,"['True', 'False', 'False', 'False']",Guess
la palla e dietro l'albero azul,"['True', 'False', 'False', 'False']",Guess
how do you say box?,"['False', 'True', 'False', 'False']",Question
Il cane e di fronte al ... how do I say blue?,"['False', 'True', 'False', 'False']",Question
what is blue in italian?,"['False', 'True', 'False', 'False']",Question
"What's Italian for bag?
","['False', 'True', 'False', 'False']",Question
what is yellow?,"['False', 'True', 'False', 'False']",Question
e dentro la scatola giallo is my first guess.,"['True', 'False', 'False', 'False']",Guess
Fine. Il gatto e dietro l'alberto rosso?,"['True', 'False', 'False', 'False']",Guess
il gatto e vicino il giallo cane?,"['True', 'False', 'False', 'False']",Guess
Oh yes I remember you telling me that earlier.,"['False', 'False', 'True', 'False']",Affirmation
What is the yellow bag?,"['False', 'True', 'False', 'False']",Question
I'm not sure?,"['True', 'False', 'False', 'False']",Guess
What is the word for green?,"['False', 'True', 'False', 'False']",Question
il gatto e dentro la scatola rosa?,"['True', 'False', 'False', 'False']",Guess
what is the word for green?,"['False', 'True', 'False', 'False']",Question
what is the word for is in front of?,"['False', 'True', 'False', 'False']",Question
I forgot what 'is next to' was...can you remind me?,"['False', 'True', 'False', 'False']",Question
"I know the Italian for box, but not for ""in front of""","['False', 'True', 'False', 'False']",Question
al dentro scatola viola,"['True', 'False', 'False', 'False']",Guess
what is the word for yellow box?,"['False', 'True', 'False', 'False']",Question
How do you say tree?,"['False', 'True', 'False', 'False']",Question
"How do you say, next to?","['False', 'True', 'False', 'False']",Question
rosa,"['True', 'False', 'False', 'False']",Guess
And what is the word for inside?,"['False', 'True', 'False', 'False']",Question
what is behind in italian?,"['False', 'True', 'False', 'False']",Question
what is blue?,"['False', 'True', 'False', 'False']",Question
"I asked about the word for bunny, I know that part.","['False', 'True', 'False', 'False']",Question
"What is the word for ""bed""?","['False', 'True', 'False', 'False']",Question
How do you say blue?,"['False', 'True', 'False', 'False']",Question
il gatto e dietro la scatola,"['True', 'False', 'False', 'False']",Guess
So is it il congilio e dentro la verde scatola,"['True', 'False', 'False', 'False']",Guess
Can you elaborate?,"['False', 'True', 'False', 'False']",Question
scatola,"['True', 'False', 'False', 'False']",Guess
what is is behind?,"['False', 'True', 'False', 'False']",Question
what is bed?,"['False', 'True', 'False', 'False']",Question
"How would you say ""is on top of the"" in Italian?","['False', 'True', 'False', 'False']",Question
And what is the word for purple?,"['False', 'True', 'False', 'False']",Question
"So, letto means bed?","['False', 'True', 'False', 'False']",Question
 il coniglio e dietro il gato verde.,"['True', 'False', 'False', 'False']",Guess
What is the word for red?,"['False', 'True', 'False', 'False']",Question
how do you say red?,"['False', 'True', 'False', 'False']",Question
"How do I say ""tree"" in Italian?","['False', 'True', 'False', 'False']",Question
il coniglio e sotto gatto verde.,"['True', 'False', 'False', 'False']",Guess
"Is it ""e di tavolo rosa""?","['True', 'False', 'False', 'False']",Guess
il coniglio is behind the scatola giala.,"['True', 'False', 'False', 'False']",Guess
alla en verde caja,"['True', 'False', 'False', 'False']",Guess
what is in front of?,"['False', 'True', 'False', 'False']",Question
How do I say blue?,"['False', 'True', 'False', 'False']",Question
verde,"['True', 'False', 'False', 'False']",Guess
"Is pink ""rossa"" in Italian?","['False', 'True', 'False', 'False']",Question
what is the word for tree?,"['False', 'True', 'False', 'False']",Question
what is the word for purple?,"['False', 'True', 'False', 'False']",Question
Il cane di fronte a all'albero viola.,"['True', 'False', 'False', 'False']",Guess
"Thanks. So, 'il cane e di frote all'albero be the whole sentence?","['False', 'False', 'True', 'False']",Affirmation
il cane es dietro l'abero verde,"['True', 'False', 'False', 'False']",Guess
e dietro il gatto,"['True', 'False', 'False', 'False']",Guess
What is the word for tree again?,"['False', 'True', 'False', 'False']",Question
La palla e sotto il letto,"['True', 'False', 'False', 'False']",Guess
What is yellow and table in Italian?,"['False', 'True', 'False', 'False']",Question
what is the word for tree?,"['False', 'True', 'False', 'False']",Question
e vicino conigula blue,"['False', 'True', 'False', 'False']",Question
"""il cane e dietro all'aletro juno""?","['True', 'False', 'False', 'False']",Guess
nexto il bunio amarillo,"['True', 'False', 'False', 'False']",Guess
what is the word for behind?,"['False', 'True', 'False', 'False']",Question
what is blue in itialian?,"['False', 'True', 'False', 'False']",Question
avolo,"['False', 'False', 'True', 'False']",Affirmation
e in cima al tavolo yeller,"['True', 'False', 'False', 'False']",Guess
il gatto e dietro rosso albero?,"['True', 'False', 'False', 'False']",Guess
il coniglio e sotto l'albero?,"['True', 'False', 'False', 'False']",Guess
oh ok  il coniglio e dentro la scatolo rosa,"['True', 'False', 'False', 'False']",Guess
red is rosso,"['True', 'False', 'False', 'False']",Guess
il gatto e vicino the verde tree,"['True', 'False', 'False', 'False']",Guess
What is the word for blue?,"['False', 'True', 'False', 'False']",Question
"What is the word for ""red""?","['False', 'True', 'False', 'False']",Question
what is on top in italian?,"['False', 'True', 'False', 'False']",Question
E l'dietro all'albero blu.,"['True', 'False', 'False', 'False']",Guess
il gatto e dietro la scatola,"['True', 'False', 'False', 'False']",Guess
what is the word for box?,"['False', 'True', 'False', 'False']",Question
is green something like verde?,"['False', 'True', 'False', 'False']",Question
la panna l'alburo blu?,"['True', 'False', 'False', 'False']",Guess
What is Italian for is under the?,"['False', 'True', 'False', 'False']",Question
what is the word for behind?,"['False', 'True', 'False', 'False']",Question
il gatoo e dietro la boxi.,"['True', 'False', 'False', 'False']",Guess
ok,"['False', 'False', 'True', 'False']",Affirmation
and how do you say dog?,"['False', 'True', 'False', 'False']",Question
how do I say box?,"['False', 'True', 'False', 'False']",Question
what is the word for under?,"['False', 'True', 'False', 'False']",Question
How do I say behind?,"['False', 'True', 'False', 'False']",Question
Is it e di fronte alla gialla scatola?,"['True', 'False', 'False', 'False']",Guess
"The only thing I'm confused about it how to say ""is behind the"" in Italian. Can you help?","['False', 'True', 'False', 'False']",Question
al coniglia e di fronte,"['False', 'False', 'True', 'False']",Affirmation
Cool. So did I get it right?,"['False', 'False', 'True', 'False']",Affirmation
il cane e dietro l'albero,"['True', 'False', 'False', 'False']",Guess
la pianta es en frente de al giatta pink,"['True', 'False', 'False', 'False']",Guess
il gatto e di fronte al bunny rosa.,"['True', 'False', 'False', 'False']",Guess
e vacino al coniglio rossa perhaps?,"['True', 'False', 'False', 'False']",Guess
e in cima al giallo tavolo?,"['True', 'False', 'False', 'False']",Guess
How do I say inside?,"['False', 'True', 'False', 'False']",Question
il cane e di cronte al coniglio. Is my best guess of how the sentence is suppose to look. ,"['True', 'False', 'False', 'False']",Guess
"How do you say ""is inside""?","['False', 'True', 'False', 'False']",Question
en la scaotla,"['True', 'False', 'False', 'False']",Guess
e vicino alla pianta rojo.,"['True', 'False', 'False', 'False']",Guess
il coniglio es ariere il pero,"['False', 'False', 'True', 'False']",Affirmation
"What is the word for red in Italian?
","['False', 'True', 'False', 'False']",Question
"I don't remember how to say ""in front of"".","['False', 'True', 'False', 'False']",Question
How do you say bag?,"['False', 'True', 'False', 'False']",Question
e vicino alla pianta jaune.,"['True', 'False', 'False', 'False']",Guess
"What is the word for blue again?
","['False', 'True', 'False', 'False']",Question
What is bunny?,"['False', 'True', 'False', 'False']",Question
"What is ""red"" in Italian?","['False', 'True', 'False', 'False']",Question
il cane e acconto al tavolo rosso,"['False', 'False', 'True', 'False']",Affirmation
Oh okay! Thanks for reminding me.,"['False', 'False', 'True', 'False']",Affirmation
La pianta?,"['True', 'False', 'False', 'False']",Guess
"What is the word for ""green""?","['False', 'True', 'False', 'False']",Question
how do you say bed?,"['False', 'True', 'False', 'False']",Question
e dentro la scatola,"['True', 'False', 'False', 'False']",Guess
scatola,"['False', 'False', 'True', 'False']",Affirmation
la palla esta en la balsa verde,"['True', 'False', 'False', 'False']",Guess
il gatto er di fronte al coniglio amirilla.,"['True', 'False', 'False', 'False']",Guess
I don't know. Give me a clue.,"['False', 'True', 'False', 'False']",Question
 il coniglio e dentro la scatola blu.,"['True', 'False', 'False', 'False']",Guess
la pianta e in cima del tavolo verde,"['True', 'False', 'False', 'False']",Guess
I remember learning that,"['False', 'False', 'True', 'False']",Affirmation
Is it il coniglio e dentro la rossa scatola?,"['True', 'False', 'False', 'False']",Guess
how do you say is behind?,"['False', 'True', 'False', 'False']",Question
la scatola e in cima al tovolo rosso,"['True', 'False', 'False', 'False']",Guess
Yes,"['False', 'False', 'True', 'False']",Affirmation
what is the word for green?,"['False', 'True', 'False', 'False']",Question
Is it il congilio e dentro la scatola?,"['True', 'False', 'False', 'False']",Guess
e in cima al tavolo?,"['False', 'False', 'True', 'False']",Affirmation
il gatto è vicino all'albero verde,"['True', 'False', 'False', 'False']",Guess
what is the word for in front of?,"['False', 'True', 'False', 'False']",Question
Oh ok. la palla e sotto l'albero rossa.,"['True', 'False', 'False', 'False']",Guess
e in unda da pinka tavolo,"['True', 'False', 'False', 'False']",Guess
And what is the word for inside?,"['False', 'True', 'False', 'False']",Question
il cane e dentro la,"['True', 'False', 'False', 'False']",Guess
il coniglio e sotto,"['False', 'False', 'True', 'False']",Affirmation
"The word for yellow is ""gialla,"" right?","['True', 'False', 'False', 'False']",Guess
la borsa e dietro la verde box,"['True', 'False', 'False', 'False']",Guess
e di fronte alla scatola rosa,"['True', 'False', 'False', 'False']",Guess
And what is the word for purple?,"['False', 'True', 'False', 'False']",Question
il cane e dentro la della scatola verde,"['True', 'False', 'False', 'False']",Guess
"How do you say ""is on top of""?","['False', 'True', 'False', 'False']",Question
e bajo tavolo viola,"['True', 'False', 'False', 'False']",Guess
what is the word for is inside of?,"['False', 'True', 'False', 'False']",Question
Is it al fronto la box verde?,"['True', 'False', 'False', 'False']",Guess
what is the word for pink?,"['False', 'True', 'False', 'False']",Question
Is it e dentro la box blu?,"['True', 'False', 'False', 'False']",Guess
il cane l'albero,"['True', 'False', 'False', 'False']",Guess
il coniglio e vincino alla pianta verde,"['True', 'False', 'False', 'False']",Guess
il cane es infront of the blu bed,"['True', 'False', 'False', 'False']",Guess
la scatola e sotto rosa,"['True', 'False', 'False', 'False']",Guess
il coniglio e dento scavalo rosa,"['True', 'False', 'False', 'False']",Guess
Ok thanks. So is it e di fronte al blu coniglio?,"['True', 'False', 'False', 'False']",Guess
Okay! My final answer is e di fronte alla scatola giallo.,"['True', 'False', 'False', 'False']",Guess
oh yeah! And what was green again?,"['False', 'True', 'False', 'False']",Question
la borsa is behind the verde box,"['True', 'False', 'False', 'False']",Guess
is it e vicino alla bocha verde?,"['True', 'False', 'False', 'False']",Guess
so how do you say is next to the in Italian?,"['False', 'True', 'False', 'False']",Question
il cane e allinterno della scatola verde,"['True', 'False', 'False', 'False']",Guess
how do you say behind?,"['False', 'True', 'False', 'False']",Question
Ok. Is box scatolia?,"['False', 'True', 'False', 'False']",Question
il coniglio e sotto tree?,"['True', 'False', 'False', 'False']",Guess
how do you say tree in Italian?,"['False', 'True', 'False', 'False']",Question
That's right. I remember that now. ,"['False', 'False', 'True', 'False']",Affirmation
Is it e dietro l'albero azul?,"['True', 'False', 'False', 'False']",Guess
e vicino alla bota tyrio,"['True', 'False', 'False', 'False']",Guess
la borsa a la e dietro la scatola,"['True', 'False', 'False', 'False']",Guess
e vicino all'albero purplio,"['True', 'False', 'False', 'False']",Guess
la pianta e in cima al rosso tavolo.,"['True', 'False', 'False', 'False']",Guess
I know that pink is rosa and bunny is coniglietto.,"['False', 'True', 'False', 'False']",Question
e sotto il tavolo,"['True', 'False', 'False', 'False']",Guess
what is yellow?,"['False', 'True', 'False', 'False']",Question
"what's a prepositional phrase--like, e dietro la? ","['False', 'True', 'False', 'False']",Question
il coniglio e dietro giallo carne.,"['True', 'False', 'False', 'False']",Guess
il coniglio e dietro il giallo cane,"['True', 'False', 'False', 'False']",Guess
il cane e dietro l'albero roso,"['True', 'False', 'False', 'False']",Guess
So what's the word for purple then?,"['False', 'True', 'False', 'False']",Question
rosa albero,"['True', 'False', 'False', 'False']",Guess
what is purple?,"['False', 'True', 'False', 'False']",Question
"How do you say ""is next to the"" in Italian?","['False', 'True', 'False', 'False']",Question
I have it. E dietro letto viola is my answer.,"['True', 'False', 'False', 'False']",Guess
can I have a clue?,"['False', 'True', 'False', 'False']",Question
Okay. What is the word for bed again?,"['False', 'True', 'False', 'False']",Question
Hello?,"['False', 'False', 'False', 'True']",Other
e fronte all'albero rosa.,"['True', 'False', 'False', 'False']",Guess
"How do you say, ""is behind the""?","['False', 'True', 'False', 'False']",Question
La palla e sotto l'albero rossa.,"['True', 'False', 'False', 'False']",Guess
how do I say is next to the?,"['False', 'True', 'False', 'False']",Question
e sotta il tavolo rosa,"['True', 'False', 'False', 'False']",Guess
and what is the italian word for tree?,"['False', 'True', 'False', 'False']",Question
la scatola e sotto l'alberto rosso?,"['True', 'False', 'False', 'False']",Guess
e di fronte,"['True', 'False', 'False', 'False']",Guess
bag alla scatola rosa,"['True', 'False', 'False', 'False']",Guess
"ok, bunny is coniglio?","['False', 'True', 'False', 'False']",Question
Thanks. What is the word for box?,"['False', 'True', 'False', 'False']",Question
il coniglio e de fronte al all'albero conglio.,"['True', 'False', 'False', 'False']",Guess
what is cat?,"['False', 'True', 'False', 'False']",Question
la palla e sotto letto verde,"['True', 'False', 'False', 'False']",Guess
I did I just don't know bunny,"['False', 'False', 'True', 'False']",Affirmation
So my response is e di fronte alla scatola verde.,"['True', 'False', 'False', 'False']",Guess
I really don't remember the word for bunny. Any help?,"['False', 'True', 'False', 'False']",Question
what do you want me to do with this info?,"['False', 'True', 'False', 'False']",Question
Okay. Is it el dietro all l'albero viola by chance?,"['True', 'False', 'False', 'False']",Guess
what is in front of in italian?,"['False', 'True', 'False', 'False']",Question
il coniglio e di fronte alla scatola,"['True', 'False', 'False', 'False']",Guess
il gatto e vicino verde al albero,"['True', 'False', 'False', 'False']",Guess
How do you say under?,"['False', 'True', 'False', 'False']",Question
il cane e dietro,"['True', 'False', 'False', 'False']",Guess
e fronto la scatola viola,"['True', 'False', 'False', 'False']",Guess
"How do you say ""bed""?","['False', 'True', 'False', 'False']",Question
How can I say on top of the table?,"['False', 'True', 'False', 'False']",Question
What's bunny? ,"['False', 'True', 'False', 'False']",Question
I can but I'd love a little assistance. How do you say is inside of the in Italian?,"['False', 'True', 'False', 'False']",Question
il coniglio is behind the l'albero rosso,"['True', 'False', 'False', 'False']",Guess
OK. I'll try.,"['False', 'False', 'True', 'False']",Affirmation
how do you say bed,"['False', 'True', 'False', 'False']",Question
 il gatto e dietro il coniglio,"['True', 'False', 'False', 'False']",Guess
what is blue in italian?,"['False', 'True', 'False', 'False']",Question
How do you say dog?,"['False', 'True', 'False', 'False']",Question
How do you say tree again?,"['False', 'True', 'False', 'False']",Question
"Okay, is it il cane di fronte alla bed viola","['True', 'False', 'False', 'False']",Guess
e dentro la alla scatola rossa is the correct answer,"['True', 'False', 'False', 'False']",Guess
il gatto e vicino al il cane pupura.,"['True', 'False', 'False', 'False']",Guess
"Is it ""il coniglio e sotto abero l'verde?""","['True', 'False', 'False', 'False']",Guess
I don't remember. How do you say bed again?,"['False', 'True', 'False', 'False']",Question
what's the words for is behind the?,"['False', 'True', 'False', 'False']",Question
"My guess is  ""il gatto e di fronte al viola coniglio"". Is that right?","['True', 'False', 'False', 'False']",Guess
How do you say in front of?,"['False', 'True', 'False', 'False']",Question
e di fronte el blu trei,"['True', 'False', 'False', 'False']",Guess
 what green is in Italian again?,"['False', 'True', 'False', 'False']",Question
e davanti alla scatola rosso,"['True', 'False', 'False', 'False']",Guess
"e di fronte conigula blu


","['True', 'False', 'False', 'False']",Guess
la painta el accanto la coniglio roja,"['True', 'False', 'False', 'False']",Guess
How do I say tree?,"['False', 'True', 'False', 'False']",Question
la pianta is next to the,"['True', 'False', 'False', 'False']",Guess
what is the word for yellow bunny?,"['False', 'True', 'False', 'False']",Question
la pianta e dentro la giatta rosada,"['True', 'False', 'False', 'False']",Guess
How do you say is under in Italian?,"['False', 'True', 'False', 'False']",Question
"I think purple is viola, correct?","['False', 'True', 'False', 'False']",Question
how do you say next?,"['False', 'True', 'False', 'False']",Question
What is the word for plant in Italian?,"['False', 'True', 'False', 'False']",Question
"I forgot, how do you say is next to the again?","['False', 'True', 'False', 'False']",Question
"Can you remind me of Italian for ""next to""?","['False', 'True', 'False', 'False']",Question
"il cane e di fronte al bed
","['True', 'False', 'False', 'False']",Guess
e in cima al letto purpe,"['True', 'False', 'False', 'False']",Guess
how do you say inside?,"['False', 'True', 'False', 'False']",Question
il gatto e accanto al all'albero viola,"['True', 'False', 'False', 'False']",Guess
What is the word for yellow?,"['False', 'True', 'False', 'False']",Question
la palla e sotto il letto,"['True', 'False', 'False', 'False']",Guess
la pianta e accanto al,"['True', 'False', 'False', 'False']",Guess
Ok right. Is is al fronto la scatola verde?,"['True', 'False', 'False', 'False']",Guess
Red is rosso right?,"['False', 'True', 'False', 'False']",Question
"Could you tell me how to say ""is in front of the?""","['False', 'True', 'False', 'False']",Question
e dentro la scatola. But what is red?,"['False', 'True', 'False', 'False']",Question
 lapiz ,"['True', 'False', 'False', 'False']",Guess
la pianta es insida la rosa scatola,"['True', 'False', 'False', 'False']",Guess
la scatola is under the tree rosa,"['True', 'False', 'False', 'False']",Guess
So what is yellow and table in Italian?,"['False', 'True', 'False', 'False']",Question
scatola e sotto arbor viola,"['True', 'False', 'False', 'False']",Guess
la pianta e in cima al tavolo,"['True', 'False', 'False', 'False']",Guess
what is the word for green?,"['False', 'True', 'False', 'False']",Question
Oh okay! then I'll try e accanto al letto roso.,"['True', 'False', 'False', 'False']",Guess
What is the word for purple to describe the bed?,"['False', 'True', 'False', 'False']",Question
"I believe dog in Italian is cane, right?","['False', 'True', 'False', 'False']",Question
what is the word for pink?,"['False', 'True', 'False', 'False']",Question
en la scaotla,"['True', 'False', 'False', 'False']",Guess
I think yellow is gialla correct?,"['False', 'True', 'False', 'False']",Question
is bed letto?,"['False', 'True', 'False', 'False']",Question
e dentro la rosa,"['True', 'False', 'False', 'False']",Guess
"Okay, what is the word for box again?","['False', 'True', 'False', 'False']",Question
"Alright. Then is it ""il gatto e in cima al il letto blu""?","['True', 'False', 'False', 'False']",Guess
il coniglio e dietro il verde pero,"['False', 'False', 'True', 'False']",Affirmation
e dentro bag viola,"['True', 'False', 'False', 'False']",Guess
and what is yellow?,"['False', 'True', 'False', 'False']",Question
How do I say under,"['False', 'True', 'False', 'False']",Question
"Ok, I think I have it then,","['False', 'False', 'True', 'False']",Affirmation
No,"['False', 'True', 'False', 'False']",Question
And the Italian word for red?,"['False', 'True', 'False', 'False']",Question
How do you say is next to the?,"['False', 'True', 'False', 'False']",Question
What is yellow in feminine.,"['False', 'True', 'False', 'False']",Question
So I just messed up the gender of yellow?,"['False', 'True', 'False', 'False']",Question
il gatto e di fronte al coniglio rosa,"['True', 'False', 'False', 'False']",Guess
How do you say box in Italian?,"['False', 'True', 'False', 'False']",Question
"I don't remember how to say ""is inside of.""","['False', 'True', 'False', 'False']",Question
And how do you say green?,"['False', 'True', 'False', 'False']",Question
What is the word for tree in Italian?,"['False', 'True', 'False', 'False']",Question
what is the word for box?,"['False', 'True', 'False', 'False']",Question
il coniglio alla pianta verde,"['True', 'False', 'False', 'False']",Guess
"ok, did I get it correct or should I have done something different?","['False', 'True', 'False', 'False']",Question
la borsa e dietro la verde scatola,"['True', 'False', 'False', 'False']",Guess
So verde scatola is green box?,"['False', 'True', 'False', 'False']",Question
"How do you say red again?""","['False', 'True', 'False', 'False']",Question
il cane e,"['True', 'False', 'False', 'False']",Guess
il gatto e in cima al table rosa.,"['True', 'False', 'False', 'False']",Guess
il coniglio,"['False', 'False', 'True', 'False']",Affirmation
"What is the word for next to?
","['False', 'True', 'False', 'False']",Question
And how do you say plant?,"['False', 'True', 'False', 'False']",Question
what is the word for box?,"['False', 'True', 'False', 'False']",Question
blu,"['False', 'False', 'True', 'False']",Affirmation
la pianta e accanto al congilietto giallo,"['True', 'False', 'False', 'False']",Guess
il gatto e in cima al table verde?,"['True', 'False', 'False', 'False']",Guess
Got it,"['False', 'False', 'True', 'False']",Affirmation
il gatto er di fronte al amirilla bunny.,"['True', 'False', 'False', 'False']",Guess
Scatola,"['True', 'False', 'False', 'False']",Guess
e sotto il lavolo rosa,"['True', 'False', 'False', 'False']",Guess
il cane e dietro il l'albero,"['True', 'False', 'False', 'False']",Guess
What is purple in Italian?,"['False', 'True', 'False', 'False']",Question
"okay then, e dentro la alla scatola rosa.","['True', 'False', 'False', 'False']",Guess
What thes word for yellow? I almost have it. ,"['False', 'True', 'False', 'False']",Question
is a dog a masculine word in Italian?,"['False', 'True', 'False', 'False']",Question
How do I say in front of?,"['False', 'True', 'False', 'False']",Question
"Thanks, but how to say ""yellow""?","['False', 'True', 'False', 'False']",Question
"Okay, how do you say ""is next to the""?","['False', 'True', 'False', 'False']",Question
Is it e dietro la scatola giala?,"['True', 'False', 'False', 'False']",Guess
Oh! Il cane e dietro l'albero?,"['True', 'False', 'False', 'False']",Guess
La piant e dentro la box,"['True', 'False', 'False', 'False']",Guess
"oh, what's the word for table?
","['False', 'True', 'False', 'False']",Question
what is the word for in front of?,"['False', 'True', 'False', 'False']",Question
"Okay, green box translates to verde scatola?","['False', 'True', 'False', 'False']",Question
il cane e dentro la,"['True', 'False', 'False', 'False']",Guess
And how do you say bunny?,"['False', 'True', 'False', 'False']",Question
what is the word for table?,"['False', 'True', 'False', 'False']",Question
e topo la blu table,"['True', 'False', 'False', 'False']",Guess
 il gatto e di fronte al coniglio,"['True', 'False', 'False', 'False']",Guess
"Okay. How do you say ""on top of""?","['False', 'True', 'False', 'False']",Question
"Is blue, azul?","['False', 'True', 'False', 'False']",Question
"How do you say ""under""?
","['False', 'True', 'False', 'False']",Question
What is the word for red?,"['False', 'True', 'False', 'False']",Question
il coniglio es verde,"['False', 'False', 'True', 'False']",Affirmation
il coniglio e dietro la scatola,"['True', 'False', 'False', 'False']",Guess
What is bag in italian?,"['False', 'True', 'False', 'False']",Question
Is il cane e di fronte de rosso tree?,"['True', 'False', 'False', 'False']",Guess
"So, one last question, how do you say ""is in front of the"" in Italian?
","['False', 'True', 'False', 'False']",Question
What is the word for pink?,"['False', 'True', 'False', 'False']",Question
a dentro scatola blu,"['True', 'False', 'False', 'False']",Guess
el dietro alla scatola blu is my first guess.,"['True', 'False', 'False', 'False']",Guess
"What is the word for ""blue""?","['False', 'True', 'False', 'False']",Question
What is next to  in Italian?,"['False', 'True', 'False', 'False']",Question
"How do you say ""is under""?","['False', 'True', 'False', 'False']",Question
e dietro la bota scatola viola,"['True', 'False', 'False', 'False']",Guess
il gatto e dietro la scatola.,"['True', 'False', 'False', 'False']",Guess
"What is ""box"" in italian again?","['False', 'True', 'False', 'False']",Question
rosa albero,"['True', 'False', 'False', 'False']",Guess
"what is ""bag"" bag in italian?","['False', 'True', 'False', 'False']",Question
Is it e sotto l'tavolo rojo?,"['True', 'False', 'False', 'False']",Guess
"What is ""green"" in Italian?","['False', 'True', 'False', 'False']",Question
"What is ""on top of""?","['False', 'True', 'False', 'False']",Question
La pianta e dentro d all'albero.,"['True', 'False', 'False', 'False']",Guess
